rebalance_date,ticker,assigned_weight,turnover_at_rebalance
1998-01-01,KO,0.01,1.0
1998-01-01,MSFT,0.1,0.0
1998-01-01,XOM,0.01,0.0
1998-01-01,GE,0.05355,0.0
1998-01-01,INTC,0.06239,0.0
1998-01-01,MRK,0.01,0.0
1998-01-01,PG,0.1,0.0
1998-01-01,IBM,0.1,0.0
1998-01-01,PFE,0.1,0.0
1998-01-01,BMY,0.1,0.0
1998-01-01,WMT,0.04877,0.0
1998-01-01,JNJ,0.01,0.0
1998-01-01,LLY,0.1,0.0
1998-01-01,VZ,0.04529,0.0
1998-01-01,DIS,0.01,0.0
1998-01-01,AIG,0.01,0.0
1998-01-01,C,0.1,0.0
1998-01-01,CSCO,0.01,0.0
1998-01-01,PEP,0.01,0.0
1998-01-01,T,0.01,0.0
1999-01-01,MSFT,0.1,0.7342889861747363
1999-01-01,GE,0.01,0.0
1999-01-01,INTC,0.01,0.0
1999-01-01,WMT,0.1,0.0
1999-01-01,XOM,0.02715,0.0
1999-01-01,KO,0.01,0.0
1999-01-01,IBM,0.1,0.0
1999-01-01,MRK,0.01,0.0
1999-01-01,PFE,0.1,0.0
1999-01-01,CSCO,0.05896,0.0
1999-01-01,BMY,0.1,0.0
1999-01-01,PG,0.01,0.0
1999-01-01,C,0.01,0.0
1999-01-01,JNJ,0.01,0.0
1999-01-01,BAC,0.01,0.0
1999-01-01,LLY,0.02388,0.0
1999-01-01,VZ,0.1,0.0
1999-01-01,HD,0.1,0.0
1999-01-01,AIG,0.01,0.0
1999-01-01,T,0.1,0.0
2000-01-01,MSFT,0.1,0.6856621156467819
2000-01-01,CSCO,0.1,0.0
2000-01-01,WMT,0.1,0.0
2000-01-01,GE,0.01,0.0
2000-01-01,XOM,0.1,0.0
2000-01-01,INTC,0.01,0.0
2000-01-01,C,0.01,0.0
2000-01-01,IBM,0.03382,0.0
2000-01-01,HD,0.1,0.0
2000-01-01,ORCL,0.1,0.0
2000-01-01,KO,0.01,0.0
2000-01-01,PG,0.0233,0.0
2000-01-01,MRK,0.01,0.0
2000-01-01,AIG,0.01,0.0
2000-01-01,JNJ,0.04661,0.0
2000-01-01,QCOM,0.1,0.0
2000-01-01,BMY,0.01,0.0
2000-01-01,PFE,0.01,0.0
2000-01-01,T,0.01626,0.0
2000-01-01,VZ,0.1,0.0
2001-01-01,XOM,0.1,0.79544095251246
2001-01-01,GE,0.1,0.0
2001-01-01,CSCO,0.08963,0.0
2001-01-01,PFE,0.01,0.0
2001-01-01,WMT,0.04602,0.0
2001-01-01,MSFT,0.01,0.0
2001-01-01,C,0.1,0.0
2001-01-01,INTC,0.01,0.0
2001-01-01,MRK,0.1,0.0
2001-01-01,AIG,0.1,0.0
2001-01-01,ORCL,0.1,0.0
2001-01-01,KO,0.01,0.0
2001-01-01,JNJ,0.1,0.0
2001-01-01,IBM,0.01,0.0
2001-01-01,BMY,0.01,0.0
2001-01-01,VZ,0.05088,0.0
2001-01-01,T,0.01,0.0
2001-01-01,HD,0.01,0.0
