Category,Metric,Value
Returns,Cumulative Return,1065.79%
Returns,Annualized Return,9.19%
Benchmark,Benchmark Cumulative Return,607.28%
Benchmark,Benchmark Annualized Return,7.25%
Risk,Annualized Volatility,18.21%
Risk,Maximum Drawdown,-54.12%
Risk,Value at Risk (95%),-1.69%
Risk,CVaR / Expected Shortfall,-2.75%
Risk,Ulcer Index (Full Period),0.1229
Ratios,Sharpe Ratio,0.505
Ratios,Sortino Ratio,0.709
Ratios,Calmar Ratio,0.170
Ratios,Omega Ratio,1.096
Benchmark,Beta,0.889
Benchmark,Alpha (Annualized),2.74%
Dotcom Crash,Cum Return (Peak→Trough),-22.33%
Dotcom Crash,Max Drawdown (Peak→Trough),-34.00%
Dotcom Crash,Sharpe (Peak→Trough),-0.467
Dotcom Crash,Sortino (Peak→Trough),-0.640
Dotcom Crash,Ulcer Index (Peak→Trough),0.1129
Dotcom Crash,Calmar (Peak→Trough),-0.279
Dotcom Crash,Cum Return (Trough→Recovery),28.22%
Dotcom Crash,Max Drawdown (Trough→Recovery),-12.98%
Dotcom Crash,Sharpe (Trough→Recovery),1.297
Dotcom Crash,Sortino (Trough→Recovery),2.023
Dotcom Crash,Ulcer Index (Trough→Recovery),0.0462
Dotcom Crash,Calmar (Trough→Recovery),1.725
GFC (Full),Cum Return (Peak→Trough),-53.82%
GFC (Full),Max Drawdown (Peak→Trough),-54.12%
GFC (Full),Sharpe (Peak→Trough),-1.076
GFC (Full),Sortino (Peak→Trough),-1.424
GFC (Full),Ulcer Index (Peak→Trough),0.2581
GFC (Full),Calmar (Peak→Trough),-0.778
GFC (Full),Cum Return (Trough→Recovery),114.52%
GFC (Full),Max Drawdown (Trough→Recovery),-12.41%
GFC (Full),Sharpe (Trough→Recovery),1.602
GFC (Full),Sortino (Trough→Recovery),2.436
GFC (Full),Ulcer Index (Trough→Recovery),0.0378
GFC (Full),Calmar (Trough→Recovery),2.303
Early Credit Crunch,Cum Return (Peak→Trough),-24.94%
Early Credit Crunch,Max Drawdown (Peak→Trough),-25.43%
Early Credit Crunch,Sharpe (Peak→Trough),-1.061
Early Credit Crunch,Sortino (Peak→Trough),-1.399
Early Credit Crunch,Ulcer Index (Peak→Trough),0.1341
Early Credit Crunch,Calmar (Peak→Trough),-1.038
Early Credit Crunch,Cum Return (Trough→Recovery),24.87%
Early Credit Crunch,Max Drawdown (Trough→Recovery),-42.53%
Early Credit Crunch,Sharpe (Trough→Recovery),0.239
Early Credit Crunch,Sortino (Trough→Recovery),0.330
Early Credit Crunch,Ulcer Index (Trough→Recovery),0.1427
Early Credit Crunch,Calmar (Trough→Recovery),0.153
Acute GFC Crash,Cum Return (Peak→Trough),-42.78%
Acute GFC Crash,Max Drawdown (Peak→Trough),-42.53%
Acute GFC Crash,Sharpe (Peak→Trough),-1.177
Acute GFC Crash,Sortino (Peak→Trough),-1.540
Acute GFC Crash,Ulcer Index (Peak→Trough),0.2595
Acute GFC Crash,Calmar (Peak→Trough),-1.616
Acute GFC Crash,Cum Return (Trough→Recovery),59.78%
Acute GFC Crash,Max Drawdown (Trough→Recovery),-5.66%
Acute GFC Crash,Sharpe (Trough→Recovery),4.042
Acute GFC Crash,Sortino (Trough→Recovery),7.119
Acute GFC Crash,Ulcer Index (Trough→Recovery),0.0181
Acute GFC Crash,Calmar (Trough→Recovery),16.620
European Debt + US Debt Ceiling,Cum Return (Peak→Trough),5.51%
European Debt + US Debt Ceiling,Max Drawdown (Peak→Trough),-12.41%
European Debt + US Debt Ceiling,Sharpe (Peak→Trough),0.225
European Debt + US Debt Ceiling,Sortino (Peak→Trough),0.305
European Debt + US Debt Ceiling,Ulcer Index (Peak→Trough),0.0474
European Debt + US Debt Ceiling,Calmar (Peak→Trough),0.303
European Debt + US Debt Ceiling,Cum Return (Trough→Recovery),N/A
European Debt + US Debt Ceiling,Max Drawdown (Trough→Recovery),N/A
European Debt + US Debt Ceiling,Sharpe (Trough→Recovery),N/A
European Debt + US Debt Ceiling,Sortino (Trough→Recovery),N/A
European Debt + US Debt Ceiling,Ulcer Index (Trough→Recovery),N/A
European Debt + US Debt Ceiling,Calmar (Trough→Recovery),N/A
Monetary Policy,Cum Return (Peak→Trough),-13.89%
Monetary Policy,Max Drawdown (Peak→Trough),-14.24%
Monetary Policy,Sharpe (Peak→Trough),-2.349
Monetary Policy,Sortino (Peak→Trough),-2.759
Monetary Policy,Ulcer Index (Peak→Trough),0.0435
Monetary Policy,Calmar (Peak→Trough),-3.089
Monetary Policy,Cum Return (Trough→Recovery),12.95%
Monetary Policy,Max Drawdown (Trough→Recovery),-2.22%
Monetary Policy,Sharpe (Trough→Recovery),4.479
Monetary Policy,Sortino (Trough→Recovery),8.227
Monetary Policy,Ulcer Index (Trough→Recovery),0.0065
Monetary Policy,Calmar (Trough→Recovery),34.445
COVID-19,Cum Return (Peak→Trough),-29.32%
COVID-19,Max Drawdown (Peak→Trough),-29.72%
COVID-19,Sharpe (Peak→Trough),-1.315
COVID-19,Sortino (Peak→Trough),-1.558
COVID-19,Ulcer Index (Peak→Trough),0.1581
COVID-19,Calmar (Peak→Trough),-3.277
COVID-19,Cum Return (Trough→Recovery),39.95%
COVID-19,Max Drawdown (Trough→Recovery),-7.62%
COVID-19,Sharpe (Trough→Recovery),4.351
COVID-19,Sortino (Trough→Recovery),7.619
COVID-19,Ulcer Index (Trough→Recovery),0.0248
COVID-19,Calmar (Trough→Recovery),15.625
Russia/Ukraine,Cum Return (Peak→Trough),-23.93%
Russia/Ukraine,Max Drawdown (Peak→Trough),-24.33%
Russia/Ukraine,Sharpe (Peak→Trough),-1.362
Russia/Ukraine,Sortino (Peak→Trough),-1.743
Russia/Ukraine,Ulcer Index (Peak→Trough),0.1331
Russia/Ukraine,Calmar (Peak→Trough),-1.218
Russia/Ukraine,Cum Return (Trough→Recovery),31.99%
Russia/Ukraine,Max Drawdown (Trough→Recovery),-6.45%
Russia/Ukraine,Sharpe (Trough→Recovery),2.673
Russia/Ukraine,Sortino (Trough→Recovery),4.520
Russia/Ukraine,Ulcer Index (Trough→Recovery),0.0234
Russia/Ukraine,Calmar (Trough→Recovery),6.609
Trade Policy Shock,Cum Return (Peak→Trough),-15.38%
Trade Policy Shock,Max Drawdown (Peak→Trough),-15.56%
Trade Policy Shock,Sharpe (Peak→Trough),-2.966
Trade Policy Shock,Sortino (Peak→Trough),-3.144
Trade Policy Shock,Ulcer Index (Peak→Trough),0.0812
Trade Policy Shock,Calmar (Peak→Trough),-4.496
Trade Policy Shock,Cum Return (Trough→Recovery),18.04%
Trade Policy Shock,Max Drawdown (Trough→Recovery),-5.82%
Trade Policy Shock,Sharpe (Trough→Recovery),2.938
Trade Policy Shock,Sortino (Trough→Recovery),6.073
Trade Policy Shock,Ulcer Index (Trough→Recovery),0.0131
Trade Policy Shock,Calmar (Trough→Recovery),9.029
