Category,Metric,Value
Returns,Cumulative Return,1563.40%
Returns,Annualized Return,10.59%
Benchmark,Benchmark Cumulative Return,607.28%
Benchmark,Benchmark Annualized Return,7.25%
Risk,Annualized Volatility,20.31%
Risk,Maximum Drawdown,-51.86%
Risk,Value at Risk (95%),-2.01%
Risk,CVaR / Expected Shortfall,-3.05%
Risk,Ulcer Index (Full Period),0.1791
Ratios,Sharpe Ratio,0.521
Ratios,Sortino Ratio,0.735
Ratios,Calmar Ratio,0.204
Ratios,Omega Ratio,1.096
Benchmark,Beta,1.006
Benchmark,Alpha (Annualized),3.29%
Dotcom Crash,Cum Return (Peak→Trough),-44.62%
Dotcom Crash,Max Drawdown (Peak→Trough),-47.87%
Dotcom Crash,Sharpe (Peak→Trough),-0.844
Dotcom Crash,Sortino (Peak→Trough),-1.164
Dotcom Crash,Ulcer Index (Peak→Trough),0.2385
Dotcom Crash,Calmar (Peak→Trough),-0.434
Dotcom Crash,Cum Return (Trough→Recovery),82.56%
Dotcom Crash,Max Drawdown (Trough→Recovery),-50.77%
Dotcom Crash,Sharpe (Trough→Recovery),0.313
Dotcom Crash,Sortino (Trough→Recovery),0.441
Dotcom Crash,Ulcer Index (Trough→Recovery),0.1684
Dotcom Crash,Calmar (Trough→Recovery),0.123
GFC (Full),Cum Return (Peak→Trough),-50.33%
GFC (Full),Max Drawdown (Peak→Trough),-50.77%
GFC (Full),Sharpe (Peak→Trough),-1.063
GFC (Full),Sortino (Peak→Trough),-1.417
GFC (Full),Ulcer Index (Peak→Trough),0.2416
GFC (Full),Calmar (Peak→Trough),-0.769
GFC (Full),Cum Return (Trough→Recovery),100.29%
GFC (Full),Max Drawdown (Trough→Recovery),-15.29%
GFC (Full),Sharpe (Trough→Recovery),1.239
GFC (Full),Sortino (Trough→Recovery),1.824
GFC (Full),Ulcer Index (Trough→Recovery),0.0495
GFC (Full),Calmar (Trough→Recovery),1.473
Early Credit Crunch,Cum Return (Peak→Trough),-22.66%
Early Credit Crunch,Max Drawdown (Peak→Trough),-23.35%
Early Credit Crunch,Sharpe (Peak→Trough),-1.068
Early Credit Crunch,Sortino (Peak→Trough),-1.412
Early Credit Crunch,Ulcer Index (Peak→Trough),0.1320
Early Credit Crunch,Calmar (Peak→Trough),-1.028
